Corridor,Region Path,Location,Country/Region,Craft / Stewardship,Notes,Knowledge Archetype,Sensitivity,Founder Phase,Status,Steward Type,Indigenous Y/N,Ecological Y/N
South Asian Textile & Craft Corridor,Kashmir,Srinagar,India,Handloom Shawl Weaving,Sub-cluster: Kashmir Corridor | Textile master candidate | Traditional weaving threatened by mechanized textiles | Master candidate: TBD,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Moroccan Architectural Craft Corridor,Morocco → Atlas Mountains → Sahara,Atlas Villages,Morocco,Berber weaving,Sub-cluster: Maghreb Architectural Craft Corridor | Handwoven wool textiles from mountain communities,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Moroccan Architectural Craft Corridor,Morocco → Atlas Mountains → Sahara,Essaouira,Morocco,Thuya wood carving,Sub-cluster: Maghreb Architectural Craft Corridor | Coastal woodcraft tradition,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Moroccan Architectural Craft Corridor,Fez → Marrakech → Atlas Mountains,Fez,Morocco,Zellige Tile Mosaic,Sub-cluster: Maghreb Architectural Craft Corridor | Traditional Islamic geometry craft | Master candidate: Abdelkader Benchamma,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Moroccan Architectural Craft Corridor,Morocco → Atlas Mountains → Sahara,Fez,Morocco,Zellige tile craft,Sub-cluster: Maghreb Architectural Craft Corridor | Islamic geometric tile tradition,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Moroccan Architectural Craft Corridor,Morocco → Atlas Mountains → Sahara,High Atlas,Morocco,Pastoral land stewardship,Sub-cluster: Maghreb Architectural Craft Corridor | Traditional transhumance grazing systems,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Moroccan Architectural Craft Corridor,Morocco → Atlas Mountains → Sahara,Marrakech,Morocco,Tadelakt plaster,Sub-cluster: Maghreb Architectural Craft Corridor | Natural lime plaster used in Moroccan architecture,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Caucasus Fermentation Corridor,Marmara,Istanbul,Türkiye,Ebru Paper Marbling / Calligraphy,Sub-cluster: Marmara Corridor | Strong historical lineage | Few masters still teaching classical Ottoman arts | Master candidate: TBD,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Mexico City → Guatemala Highlands,Chiapas,Mexico,Coffee cultivation,Shade-grown agroforestry | Shade-grown coffee agroforestry traditions,Food & Fermentation,Medium,Founding 13,Candidate,Craft Master,N,Y
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Mexico City → Guatemala Highlands,Guatemala Highlands,Guatemala,Backstrap weaving,Mayan textile tradition,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Chiapas → Guatemala → Michoacán,Michoacán,Mexico,Copper smithing,Traditional hammered copper craft,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Mexico City → Guatemala Highlands,Oaxaca,Mexico,Zapotec weaving,Natural dye weaving tradition | Natural dye textile traditions,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Mexico City → Guatemala Highlands,Oaxaca,Mexico,Alebrije carving,Traditional wood carving,Material Craft,Medium,,Candidate,Craft Master,N,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Chiapas → Guatemala,Oaxaca,Mexico,Zapotec Wood Carving,Zapotec cultural lineage | Master candidate: Jacobo Ángeles,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Chiapas → Guatemala,Oaxaca,Mexico,Land Restoration / Agroecology,Environmental restoration leader | Master candidate: Jesús León Santos,Land Stewardship,High,Founding 13,Candidate,Land Steward,N,Y
Mesoamerican Craft & Agriculture Corridor,Oaxaca → Mexico City → Guatemala Highlands,Xochimilco,Mexico,Chinampa agriculture,Ancient floating farm system,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,Y,Y
Moroccan Architectural Craft Corridor,Fez → Marrakech → Atlas Mountains,Atlas highlands,Morocco,Pastoral stewardship,Nomadic ecological knowledge,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Moroccan Architectural Craft Corridor,Fez → Marrakech → Atlas Mountains,Essaouira,Morocco,Wood carving,Thuya wood craft tradition,Material Craft,Medium,,Candidate,Craft Master,N,N
Moroccan Architectural Craft Corridor,Fez → Marrakech → Atlas Mountains,Fez,Morocco,Zellige tile masters,Islamic geometric architecture,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
Moroccan Architectural Craft Corridor,Fez → Marrakech → Atlas Mountains,Marrakech,Morocco,Tadelakt plaster artisans,Lime plaster architecture tradition,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Maine → Massachusetts → Vermont → New Hampshire,Brattleboro,"Vermont, USA",Maple syrup craft,Sub-cluster: New England Maritime Craft Corridor | Traditional sugarhouse techniques,Food & Fermentation,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Maine → Massachusetts → Vermont → New Hampshire,Gloucester,"Massachusetts, USA",Net making,Sub-cluster: New England Maritime Craft Corridor | Commercial fishing craft,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Maine → Massachusetts → Vermont → New Hampshire,North Conway,"New Hampshire, USA",Shaker woodworking,Sub-cluster: New England Maritime Craft Corridor | Minimalist furniture tradition,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Maine → Massachusetts → Vermont → New Hampshire,Portland,"Maine, USA",Wooden lobster boat building,Sub-cluster: New England Maritime Craft Corridor | Traditional fishing vessel craft,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Maine → Massachusetts → Vermont → New Hampshire,Rockport,"Maine, USA",Boatbuilding,Sub-cluster: New England Maritime Craft Corridor | Classic wooden sailing boats,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,New Mexico,Santa Clara Pueblo,USA,Adobe Architecture,Sub-cluster: New Mexico Corridor | Master candidate: TBD,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
Japanese Master Craft Corridor,Niigata,Sado Island,Japan,Satoyama Landscape Stewardship,Sub-cluster: Niigata Corridor | Stewardship node | Rural ecological stewardship disappearing | Master candidate: TBD,Land Stewardship,High,Founding 13,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Iowa → USA,Amana Colonies,USA,Broom making,Lost utilitarian art,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Indiana → USA,Amish country,USA,Handloom quilt making,Sustainable domestic art,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Ohio → USA,Appalachian Ohio,USA,Flint knapping,Archaeological sensitivity,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Texas → USA,Big Bend / borderlands,USA,Vaquero saddle craft,Useful and enduring,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Virginia → USA,Blue Ridge,USA,Basket weaving,Sustainable handcraft,Food & Fermentation,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Vermont → USA,Brattleboro,USA,Maple sugaring,Land-connected tradition,Land Stewardship,Medium,,Candidate,Land Steward,N,N
North American Stewardship Corridor,Oklahoma → USA,Caddo / Cherokee / Osage,USA,Ribbonwork,Needs nation-led engagement,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Louisiana → USA,Cajun country,USA,Cajun accordion making,Endangered specialist skill,Instrument & Music Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,New Hampshire → USA,Canterbury / Monadnock,USA,Shaker furniture making,Enduring sustainable design,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,North Carolina → USA,Cherokee / Appalachia,USA,Double-weave basketry,Strong apprenticeship fit,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Maryland → USA,Chesapeake Bay,USA,Skipjack sailing knowledge,Living heritage,Maritime & Watercraft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Illinois → USA,Chicago / prairie belt,USA,Prairie seed stewardship,Strong ecological relevance,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Kentucky → USA,Eastern Kentucky,USA,Dulcimer making,High apprenticeship fit,Instrument & Music Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Kansas → USA,Flint Hills,USA,Prairie grassland stewardship,Climate and biodiversity value,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Utah → USA,Four Corners,USA,Dryland farming techniques,Climate resilience value,Material Craft,Medium,,Candidate,Land Steward,N,N
North American Stewardship Corridor,Southwest USA → Colorado Plateau → Great Plains,Four Corners Region,"Utah / Colorado, USA",Dryland farming,Traditional desert agriculture,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Alabama → USA,Gee's Bend,USA,Quilting,Sustainable handwork,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Nevada → USA,Great Basin,USA,Piñon harvest knowledge,Highly place-based,Food & Fermentation,Medium,,Candidate,Land Steward,N,N
North American Stewardship Corridor,Wisconsin → USA,Great Lakes,USA,Ash splint basketry,Endangered due to ash dieback,Material Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,New York → USA,Haudenosaunee territories,USA,Wampum carving / diplomacy belts,High sensitivity,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Mississippi → USA,Hill Country,USA,Fife-and-drum tradition,Living master tradition,Music & Storytelling,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Southwest USA → Colorado Plateau → Great Plains,Hopi Mesas,"Arizona, USA",Katsina carving,Sacred cottonwood carving traditions,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Alaska → USA,Kodiak / Yup'ik regions,USA,Skin-sewn kayak building,Highly place-based,Maritime & Watercraft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Pennsylvania → USA,Lancaster,USA,Hex sign painting,Accessible entry craft,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,South Carolina → USA,Lowcountry,USA,Sweetgrass basketry,High cultural specificity,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Maine → USA,Midcoast Maine,USA,Lobster trap making,Working-waterfront knowledge,Maritime & Watercraft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,West Virginia → USA,Mountain region,USA,Coverlet weaving,Lost domestic art,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Connecticut → USA,Mystic region,USA,Wooden decoy carving,Sustainable hand carving,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Delaware → USA,Nanticoke region,USA,River cane / woodland basketry,Needs community-led vetting,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Massachusetts → USA,Nantucket / New Bedford,USA,Scrimshaw,Can be interpreted sensitively,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Southwest USA → Colorado Plateau → Great Plains,Navajo Nation,"Arizona / New Mexico, USA",Navajo rug weaving,Handwoven wool textile tradition,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
North American Stewardship Corridor,Rhode Island → USA,Newport,USA,Sailmaking,Functional sustainable making,Maritime & Watercraft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Idaho → USA,Nez Perce region,USA,Parfleche / rawhide work,Community permissions essential,Material Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,California → USA,North Coast / Sierra,USA,Cultural burning stewardship,High sensitivity,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Minnesota → USA,Northwoods,USA,Wild rice stewardship,High sensitivity,Food & Fermentation,Medium,,Candidate,Craft Master,N,Y
North American Stewardship Corridor,Arkansas → USA,Ozarks,USA,White oak basketry,Renewable material tradition,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Missouri → USA,Ozarks,USA,Chair caning,Sustainable lost art,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,New Jersey → USA,Pinelands,USA,Pine needle basketry,Under-recognized tradition,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Montana → USA,Plains,USA,Bison stewardship,Strong Studium fit,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,North Dakota → USA,Plains,USA,Moccasin / quillwork,High cultural specificity,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Washington → USA,Salish Sea,USA,Cedar canoe carving,High sensitivity,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Colorado → USA,San Luis Valley,USA,Hispano santero carving,Small master base,Material Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Nebraska → USA,Sandhills,USA,Prairie stewardship,Sustainable land practice,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Southwest USA → Colorado Plateau → Great Plains,Santa Fe,"New Mexico, USA",Adobe architecture,Earthen building traditions,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
North American Stewardship Corridor,New Mexico → USA,Santa Fe / Taos,USA,Adobe architecture,Core Studium node,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Georgia → USA,Sapelo / coastal Georgia,USA,Cast-net making,Sustainable livelihood art,Maritime & Watercraft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Florida → USA,Seminole communities,USA,Seminole patchwork,High cultural specificity,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Tennessee → USA,Smokies,USA,Wood carving,Apprenticeship-friendly,Material Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Arizona → USA,Sonoran Desert,USA,Desert water harvesting,Sustainable systems knowledge,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Hawaii → USA,Statewide / voyaging communities,USA,Polynesian wayfinding,High sensitivity,Navigation & Wayfinding,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Southwest USA → Colorado Plateau → Great Plains,Taos Pueblo,"New Mexico, USA",Pueblo pottery,Indigenous clay pottery traditions,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Michigan → USA,Upper Peninsula,USA,Birchbark canoe craft,High sensitivity,Maritime & Watercraft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Southwest USA → Great Plains,Virginia,USA,Regenerative Farming,Polyface Farm | Master candidate: Joel Salatin,Land Stewardship,Low,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,Oregon → USA,Willamette Valley,USA,Heritage orchard grafting,Sustainable horticultural art,Material Craft,Medium,,Candidate,Craft Master,N,N
O’Higgins Corridor,O’Higgins,Chimbarongo,Chile,Wicker Basket Weaving,Potential Latin America node | Rural fiber craft declining | Master candidate: TBD,Textile & Fiber Craft,Low,,Candidate,Craft Master,N,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca,Oaxaca,Mexico,Zapotec Weaving / Natural Dyes,Sub-cluster: Oaxaca Corridor | Strong cultural heritage | Indigenous dye knowledge threatened by synthetic textiles | Master candidate: TBD,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Mesoamerican Craft & Agriculture Corridor,Oaxaca,Oaxaca Highlands,Mexico,Traditional Milpa Agriculture,Sub-cluster: Oaxaca Corridor | Stewardship category | Ancient polyculture farming system declining | Master candidate: TBD,Land Stewardship,High,Founding 13,Candidate,Land Steward,N,Y
Pacific Island Navigation Corridor,Hawaii → Polynesia → Micronesia,Fiji,Fiji,Palm fiber weaving,Island fiber craft traditions,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Pacific Island Navigation Corridor,Hawaii → Polynesia → Micronesia,Hawaii,USA,Polynesian wayfinding,Celestial navigation traditions,Navigation & Wayfinding,Medium,,Candidate,Craft Master,N,N
Pacific Island Navigation Corridor,Hawaii → Polynesia → Micronesia,Micronesia,Micronesia,Stick chart navigation,Ocean swell navigation mapping,Navigation & Wayfinding,Medium,,Candidate,Craft Master,N,N
Pacific Island Navigation Corridor,Hawaii → Polynesia → Micronesia,Samoa,Samoa,Tapa cloth making,Tree bark textile traditions,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Pacific Island Navigation Corridor,Hawaii → Polynesia → Micronesia,Tahiti,French Polynesia,Outrigger canoe building,Traditional ocean voyaging vessels,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
North American Stewardship Corridor,Washington → Oregon → Alaska,Astoria,"Oregon, USA",Wooden boat building,Sub-cluster: Pacific Northwest Indigenous Craft Corridor | Maritime fishing vessel craft,Material Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Washington → Oregon → Alaska,Juneau,"Alaska, USA",Tlingit weaving,Sub-cluster: Pacific Northwest Indigenous Craft Corridor | Ravenstail and Chilkat weaving,Textile & Fiber Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Washington → Oregon → Alaska,Kodiak Island,"Alaska, USA",Kayak skin boat building,Sub-cluster: Pacific Northwest Indigenous Craft Corridor | Traditional Arctic boat craft,Architecture & Building Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Washington → Oregon → Alaska,Olympic Peninsula,"Washington, USA",Canoe carving,Sub-cluster: Pacific Northwest Indigenous Craft Corridor | Coastal Salish maritime craft,Material Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Washington → Oregon → Alaska,Puget Sound,"Washington, USA",Totem carving,Sub-cluster: Pacific Northwest Indigenous Craft Corridor | Indigenous cedar carving tradition,Material Craft,Medium,,Candidate,Craft Master,Y,N
North American Stewardship Corridor,Washington → Oregon → Alaska,Willamette Valley,"Oregon, USA",Natural wine fermentation,Sub-cluster: Pacific Northwest Indigenous Craft Corridor | Small vineyard fermentation traditions,Food & Fermentation,Medium,,Candidate,Craft Master,Y,Y
Persian Craft & Garden Corridor,Iran → Central Asia,Hamadan,Iran,Ceramic tile craft,Persian geometric tile traditions,Material Craft,Medium,,Candidate,Craft Master,N,N
Persian Craft & Garden Corridor,Iran → Central Asia,Isfahan,Iran,Persian carpet weaving,Natural dye carpet weaving traditions,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Persian Craft & Garden Corridor,Iran → Central Asia,Kashan,Iran,Persian garden cultivation,Sacred geometry garden design traditions,Land Stewardship,Medium,,Candidate,Land Steward,Y,N
Persian Craft & Garden Corridor,Iran → Central Asia,Tabriz,Iran,Miniature painting,Persian manuscript illustration traditions,Material Craft,Medium,,Candidate,Craft Master,N,N
Persian Craft & Garden Corridor,Iran → Central Asia,Yazd,Iran,Wind tower architecture,Ancient desert cooling architecture,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
South Asian Textile & Craft Corridor,Rajasthan,Jaipur,India,Block Printing / Natural Dye,Sub-cluster: Rajasthan Corridor | Good early craft node | Hand-block printing declining due to mass production | Master candidate: TBD,Textile & Fiber Craft,Low,Founding 13,Candidate,Craft Master,N,N
Andean Knowledge Corridor,Sacred Valley,Cusco / Andes,Peru,Alpaca Weaving,Sub-cluster: Sacred Valley Corridor | Textile heritage | Andean weaving traditions losing apprentices | Master candidate: TBD,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Sahel Nomadic Craft Corridor,Niger → Chad → Mali,Agadez,Niger,Tuareg silver jewelry,Desert cross pendants and nomadic identity symbols,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Sahel Nomadic Craft Corridor,Niger → Chad → Mali,Lake Chad Basin,Chad,Reed boat building,Traditional river fishing vessels,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Sahel Nomadic Craft Corridor,Niger → Chad → Mali,Sahel Grasslands,Mali / Niger,Nomadic pastoral stewardship,Traditional desert grazing systems,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
Sahel Nomadic Craft Corridor,Niger → Chad → Mali,Timbuktu Region,Mali,Manuscript preservation,Ancient bookbinding and restoration craft,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Sahel Nomadic Craft Corridor,Niger → Chad → Mali,Timia Oasis,Niger,Leather saddle craft,Camel saddle and caravan equipment traditions,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Scandinavian Craft & Land Corridor,Denmark → Sweden → Norway,Bornholm,Denmark,Ceramic Craft,Tortus studio | Master candidate: Eric Landon,Material Craft,Low,,Candidate,Craft Master,N,N
Scandinavian Craft & Land Corridor,Norway → Sweden → Finland,Dalarna,Sweden,Dala horse carving,Traditional Swedish wood carving,Material Craft,Medium,,Candidate,Craft Master,N,N
Scandinavian Craft & Land Corridor,Norway → Sweden → Finland,Finnish Lakes,Finland,Wooden boat building,Nordic lake vessel traditions,Material Craft,Medium,,Candidate,Craft Master,N,N
Scandinavian Craft & Land Corridor,Norway → Sweden → Finland,Hardanger,Norway,Fiddle making,Norwegian folk instrument craft,Material Craft,Medium,,Candidate,Craft Master,N,N
Scandinavian Craft & Land Corridor,Norway → Sweden → Finland,Lapland,Finland,Sámi reindeer stewardship,Arctic pastoral knowledge,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
Scandinavian Craft & Land Corridor,Norway → Scotland → Denmark,Outer Hebrides,Scotland,Harris Tweed Weaving,Regional textile heritage | Master candidate: Caroline Millar,Textile & Fiber Craft,Low,,Candidate,Craft Master,N,N
Scandinavian Craft & Land Corridor,Norway → Sweden → Finland,Telemark,Norway,Rosemaling painting,Norwegian decorative folk art,Material Craft,Medium,,Candidate,Craft Master,N,N
South Asian Textile Corridor,India → Pakistan → Bangladesh,Jaipur,India,Block printing,Sub-cluster: South Asian Textile & Craft Corridor | Hand-carved wood block textile printing,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
South Asian Textile Corridor,India → Pakistan → Bangladesh,Kerala,India,Ayurvedic plant medicine,Sub-cluster: South Asian Textile & Craft Corridor | Traditional herbal medicine knowledge,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
South Asian Textile Corridor,India → Pakistan → Bangladesh,Kutch,India,Embroidery,Sub-cluster: South Asian Textile & Craft Corridor | Kutchi mirror embroidery,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
South Asian Textile Corridor,India → Pakistan → Bangladesh,Ladakh,India,High-altitude agriculture,Sub-cluster: South Asian Textile & Craft Corridor | Himalayan terrace farming,Land Stewardship,Medium,,Candidate,Land Steward,N,Y
South Asian Textile Corridor,Jaipur → Gujarat → Kashmir,Rajasthan,India,Rajasthani Miniature Painting,Sub-cluster: South Asian Textile & Craft Corridor | Historic Indian painting schools | Master candidate: Rajendra Bhatt,Material Craft,Low,,Candidate,Craft Master,N,N
South Asian Textile Corridor,Himalayas → Indo-Gangetic Plains,Uttarakhand,India,Seed Stewardship,Sub-cluster: South Asian Textile & Craft Corridor | Navdanya movement | Master candidate: Vandana Shiva,Land Stewardship,Medium,Founding 13,Candidate,Land Steward,N,Y
South Asian Textile Corridor,India → Pakistan → Bangladesh,Varanasi,India,Silk weaving,Sub-cluster: South Asian Textile & Craft Corridor | Banarasi silk weaving,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Southeast Asian Dye & Wood Corridor,Indonesia → Thailand → Laos,Bali,Indonesia,Temple wood carving,Sub-cluster: Southeast Asian Dye & Woodcraft Corridor | Sacred temple carving traditions,Material Craft,Medium,,Candidate,Craft Master,Y,N
Southeast Asian Dye & Wood Corridor,Indonesia → Thailand → Laos,Central Java,Indonesia,Gamelan instrument making,Sub-cluster: Southeast Asian Dye & Woodcraft Corridor | Bronze gong instrument craftsmanship,Material Craft,Medium,,Candidate,Craft Master,N,N
Southeast Asian Dye & Wood Corridor,Indonesia → Thailand → Laos,Chiang Mai,Thailand,Paper umbrella craft,Sub-cluster: Southeast Asian Dye & Woodcraft Corridor | Bamboo and paper umbrella traditions,Material Craft,Medium,,Candidate,Craft Master,N,N
Southeast Asian Dye & Wood Corridor,Indonesia → Thailand → Laos,Luang Prabang,Laos,Silk weaving,Sub-cluster: Southeast Asian Dye & Woodcraft Corridor | Mekong textile traditions,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Southeast Asian Dye & Wood Corridor,Indonesia → Thailand → Laos,Yogyakarta,Indonesia,Batik dyeing,Sub-cluster: Southeast Asian Dye & Woodcraft Corridor | Traditional wax-resist textile dye techniques,Textile & Fiber Craft,Medium,,Candidate,Craft Master,N,N
Southeast Asian Dye & Wood Corridor,Yogyakarta → Bali → Chiang Mai,Yogyakarta,Indonesia,Batik Textile Dyeing,Sub-cluster: Southeast Asian Dye & Woodcraft Corridor | UNESCO recognized craft | Master candidate: Iwan Tirta,Textile & Fiber Craft,Low,Founding 13,Candidate,Craft Master,N,N
Southern African Craft & Ecology Corridor,Zimbabwe → Botswana → South Africa → Madagascar,Antananarivo Region,Madagascar,Zebu horn carving,Horn carving for ritual objects and jewelry | Horn sculpting for ritual and decorative objects,Material Craft,Medium,Founding 13,Candidate,Craft Master,Y,N
Southern African Craft & Ecology Corridor,Zimbabwe → Botswana → South Africa → Madagascar,Great Zimbabwe Plateau,Zimbabwe,Granite masonry,Ancient dry stone architecture techniques,Architecture & Building Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Southern African Craft & Ecology Corridor,Zimbabwe → Botswana → South Africa → Madagascar,Harare Region,Zimbabwe,Shona stone sculpture,Globally recognized sculptural tradition,Material Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Southern African Craft & Ecology Corridor,Zimbabwe → Botswana → South Africa → Madagascar,KwaZulu-Natal,South Africa,Zulu beadwork,Bead symbolism communicating social meaning,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Southern African Craft & Ecology Corridor,Zimbabwe → Botswana → South Africa → Madagascar,Limpopo Region,South Africa,Ndebele mural painting,Geometric house painting tradition,Material Craft,Medium,,Candidate,Craft Master,Y,N
Southern African Craft & Ecology Corridor,Zimbabwe → Botswana → South Africa → Madagascar,Okavango Delta,Botswana,Palm basket weaving,Fiber weaving tied to wetland ecosystems | Wetland fiber weaving traditions,Textile & Fiber Craft,Medium,Founding 13,Candidate,Craft Master,N,N
Southern African Craft & Ecology Corridor,Zimbabwe → Botswana → South Africa,Zimbabwe,Zimbabwe,Holistic Grazing Ecology,Global ecological influence | Master candidate: Allan Savory,Land Stewardship,Low,,Candidate,Land Steward,N,Y
North American Stewardship Corridor,New Mexico → Arizona → Colorado,Santa Clara Pueblo,USA,Pueblo Clay Sculpture,Sub-cluster: Southwest Architecture & Desert Stewardship Corridor | Pueblo cultural lineage | Master candidate: Roxanne Swentzell,Material Craft,High,Founding 13,Candidate,Craft Master,N,N
Tibetan Plateau Stewardship Corridor,Tibet → Bhutan → Nepal,Bhutan Highlands,Bhutan,Dzong architecture,Traditional Himalayan fortress construction,Architecture & Building Craft,Medium,,Candidate,Craft Master,N,N
